"languages","charset","n_pages_languages","n_pages_charset","n_pages","loglikelihood","prob_cs_given_lang","prob_lang_given_cs"
"ces","ISO-8859-2","27627763","5794535","254141","3.1014062381672614","0.009198754166234885","0.04385873931212772"
"ces","windows-1252","27627763","15713096","18310","-4.043904530176702","6.627391439545793E-4","0.0011652700397171887"
"ces","ISO-8859-1","27627763","103949213","18303","-7.76400667688726","6.624857756308392E-4","1.7607636913999532E-4"
"ces","windows-1251","27627763","31259368","1004","-11.212943504442421","3.63402567193008E-5","3.211837168301035E-5"
"ces","ISO-8859-15","27627763","3548052","567","-8.021913225081976","2.0522834222951746E-5","1.5980600058849195E-4"
"ces","UTF-16LE","27627763","29580","448","1.0486213619885554","1.621557271936928E-5","0.015145368492224476"
"cos","UTF-8","23456","2820276978","20225","0.7323449818995634","0.8622527285129604","7.171281458441207E-6"
"cos","ISO-8859-1","23456","103949213","2079","1.8272831208235574","0.08863403819918145","2.0000151420097813E-5"
"cos","windows-1252","23456","15713096","586","3.150409731354895","0.024982946793997273","3.729373256549823E-5"
"cos","ISO-8859-15","23456","3548052","522","5.892796180172705","0.02225443383356071","1.4712298466877037E-4"
"crs","UTF-8","1117","2820276978","787","1.85446822574091","0.7045658012533572","2.790506060713587E-7"
"crs","ISO-8859-1","1117","103949213","297","3.591868202031869","0.26589077887197854","2.8571644885854017E-6"
"cym","UTF-8","162434","2820276978","161091","-4.613815579606886","0.9917320265461664","5.7118857919493325E-5"
"cym","ISO-8859-1","162434","103949213","1053","-3.230775705553768","0.006482632946304345","1.0129946823166425E-5"
"cym","windows-1252","162434","15713096","206","-2.762568478925572","0.0012682073950035092","1.3110083461591528E-5"
"dan","UTF-8","8520425","2820276978","7790026","-0.09880533161513019","0.9142766939442575","0.0027621492714252124"
"dan","ISO-8859-1","8520425","103949213","535015","1.1892028255320786","0.06279205556060877","0.0051468884136717805"
"dan","windows-1252","8520425","15713096","181295","2.819369208776492","0.021277694481202522","0.011537828063928331"
"dan","ISO-8859-15","8520425","3548052","3409","-2.0963147164501796","4.0009741298116E-4","9.608089171184639E-4"
"dan","windows-1251","8520425","31259368","2148","-7.351915598724489","2.521001006405197E-4","6.871540077201817E-5"
