"capture_time","content_languages","count"
"2019-11-13 21:00:00.000","fin","18776"
"2019-11-13 21:00:00.000","dan","17962"
"2019-11-13 21:00:00.000","ron","21512"
"2019-11-13 21:00:00.000","ell","12002"
"2019-11-13 21:00:00.000","hun","27925"
"2019-11-13 21:00:00.000","ara","18144"
"2019-11-13 21:00:00.000","fas","24761"
"2019-11-13 22:00:00.000","hun","45894"
"2019-11-13 22:00:00.000","ell","20546"
"2019-11-13 22:00:00.000","fin","32346"
"2019-11-13 22:00:00.000","dan","29061"
"2019-11-13 22:00:00.000","ron","34615"
"2019-11-13 22:00:00.000","ara","34380"
"2019-11-13 22:00:00.000","fas","40905"
"2019-11-13 23:00:00.000","ara","30778"
"2019-11-13 23:00:00.000","ell","20474"
"2019-11-13 23:00:00.000","hun","44194"
"2019-11-13 23:00:00.000","ron","33336"
"2019-11-13 23:00:00.000","fin","29377"
"2019-11-13 23:00:00.000","fas","39251"
"2019-11-13 23:00:00.000","dan","27928"
"2019-11-14 00:00:00.000","ara","21254"
"2019-11-14 00:00:00.000","ron","22043"
"2019-11-14 00:00:00.000","fas","26096"
"2019-11-14 00:00:00.000","hun","29395"
"2019-11-14 00:00:00.000","fin","20473"
"2019-11-14 00:00:00.000","dan","21158"
"2019-11-14 00:00:00.000","ell","13534"
"2019-11-14 01:00:00.000","ell","19828"
"2019-11-14 01:00:00.000","dan","30378"
"2019-11-14 01:00:00.000","ron","31528"
"2019-11-14 01:00:00.000","ara","31625"
"2019-11-14 01:00:00.000","fin","31290"
"2019-11-14 01:00:00.000","hun","45499"
"2019-11-14 01:00:00.000","fas","40507"
"2019-11-14 02:00:00.000","ell","11988"
"2019-11-14 02:00:00.000","ara","19044"
"2019-11-14 02:00:00.000","hun","28868"
"2019-11-14 02:00:00.000","fin","19440"
"2019-11-14 02:00:00.000","ron","21320"
"2019-11-14 02:00:00.000","fas","24888"
"2019-11-14 02:00:00.000","dan","19286"
"2019-11-14 03:00:00.000","hun","45223"
"2019-11-14 03:00:00.000","fin","34319"
"2019-11-14 03:00:00.000","ell","19712"
"2019-11-14 03:00:00.000","fas","46186"
"2019-11-14 03:00:00.000","ron","36456"
"2019-11-14 03:00:00.000","ara","35633"
"2019-11-14 03:00:00.000","dan","33112"
"2019-11-14 04:00:00.000","ell","20109"
"2019-11-14 04:00:00.000","ron","36327"
"2019-11-14 04:00:00.000","dan","32253"
"2019-11-14 04:00:00.000","fin","33267"
"2019-11-14 04:00:00.000","hun","45804"
"2019-11-14 04:00:00.000","ara","33516"
"2019-11-14 04:00:00.000","fas","44422"
"2019-11-14 05:00:00.000","ara","19620"
"2019-11-14 05:00:00.000","fas","25010"
"2019-11-14 05:00:00.000","fin","19247"
"2019-11-14 05:00:00.000","ron","21965"
"2019-11-14 05:00:00.000","hun","26285"
"2019-11-14 05:00:00.000","ell","12510"
"2019-11-14 05:00:00.000","dan","19029"
"2019-11-14 06:00:00.000","fas","42034"
"2019-11-14 06:00:00.000","hun","48592"
"2019-11-14 06:00:00.000","ron","35612"
"2019-11-14 06:00:00.000","ell","21749"
"2019-11-14 06:00:00.000","fin","35475"
"2019-11-14 06:00:00.000","ara","36056"
"2019-11-14 06:00:00.000","dan","32657"
"2019-11-14 07:00:00.000","hun","33279"
"2019-11-14 07:00:00.000","dan","24722"
"2019-11-14 07:00:00.000","fas","30012"
"2019-11-14 07:00:00.000","ron","26515"
"2019-11-14 07:00:00.000","ara","24407"
"2019-11-14 07:00:00.000","fin","24326"
"2019-11-14 07:00:00.000","ell","14228"
"2019-11-14 08:00:00.000","ron","31932"
"2019-11-14 08:00:00.000","fas","38880"
"2019-11-14 08:00:00.000","hun","40645"
"2019-11-14 08:00:00.000","fin","29364"
"2019-11-14 08:00:00.000","dan","28150"
"2019-11-14 08:00:00.000","ara","29681"
"2019-11-14 08:00:00.000","ell","18314"
"2019-11-14 09:00:00.000","fin","32366"
"2019-11-14 09:00:00.000","ell","20633"
"2019-11-14 09:00:00.000","ron","36233"
"2019-11-14 09:00:00.000","hun","45916"
"2019-11-14 09:00:00.000","ara","32638"
"2019-11-14 09:00:00.000","dan","30453"
"2019-11-14 09:00:00.000","fas","42083"
"2019-11-14 10:00:00.000","fas","22982"
"2019-11-14 10:00:00.000","ara","18956"
"2019-11-14 10:00:00.000","fin","20152"
"2019-11-14 10:00:00.000","hun","27687"
"2019-11-14 10:00:00.000","ell","11751"
"2019-11-14 10:00:00.000","ron","23118"
"2019-11-14 10:00:00.000","dan","17924"
"2019-11-14 11:00:00.000","ara","34793"
"2019-11-14 11:00:00.000","fin","32026"
"2019-11-14 11:00:00.000","fas","41337"
"2019-11-14 11:00:00.000","hun","48578"
"2019-11-14 11:00:00.000","dan","28702"
"2019-11-14 11:00:00.000","ron","35739"
"2019-11-14 11:00:00.000","ell","20568"
"2019-11-14 12:00:00.000","fas","32472"
"2019-11-14 12:00:00.000","ell","17201"
"2019-11-14 12:00:00.000","ara","24740"
"2019-11-14 12:00:00.000","fin","26191"
"2019-11-14 12:00:00.000","dan","22955"
"2019-11-14 12:00:00.000","hun","38008"
"2019-11-14 12:00:00.000","ron","28716"
"2019-11-14 13:00:00.000","ell","15568"
"2019-11-14 13:00:00.000","ara","25479"
"2019-11-14 13:00:00.000","fin","25876"
"2019-11-14 13:00:00.000","dan","24998"
"2019-11-14 13:00:00.000","fas","32034"
"2019-11-14 13:00:00.000","hun","33525"
"2019-11-14 13:00:00.000","ron","27967"
"2019-11-14 14:00:00.000","fin","31234"
"2019-11-14 14:00:00.000","fas","37444"
"2019-11-14 14:00:00.000","ron","31868"
"2019-11-14 14:00:00.000","ell","19320"
"2019-11-14 14:00:00.000","ara","29648"
"2019-11-14 14:00:00.000","hun","41354"
"2019-11-14 14:00:00.000","dan","27391"
"2019-11-14 15:00:00.000","fin","19117"
"2019-11-14 15:00:00.000","ell","11492"
"2019-11-14 15:00:00.000","ron","20676"
"2019-11-14 15:00:00.000","hun","24720"
"2019-11-14 15:00:00.000","dan","17510"
"2019-11-14 15:00:00.000","ara","17990"
"2019-11-14 15:00:00.000","fas","22039"
"2019-11-14 16:00:00.000","ara","36386"
"2019-11-14 16:00:00.000","fin","34437"
"2019-11-14 16:00:00.000","ron","35879"
"2019-11-14 16:00:00.000","hun","47644"
"2019-11-14 16:00:00.000","fas","44845"
"2019-11-14 16:00:00.000","ell","21491"
"2019-11-14 16:00:00.000","dan","31658"
"2019-11-14 17:00:00.000","fin","30281"
"2019-11-14 17:00:00.000","fas","38827"
"2019-11-14 17:00:00.000","ron","33666"
"2019-11-14 17:00:00.000","ell","19925"
"2019-11-14 17:00:00.000","ara","31823"
"2019-11-14 17:00:00.000","hun","42878"
"2019-11-14 17:00:00.000","dan","28555"
"2019-11-14 18:00:00.000","ron","26838"
"2019-11-14 18:00:00.000","hun","35193"
"2019-11-14 18:00:00.000","ell","15882"
"2019-11-14 18:00:00.000","fas","31982"
"2019-11-14 18:00:00.000","fin","24303"
"2019-11-14 18:00:00.000","ara","24168"
"2019-11-14 18:00:00.000","dan","22964"
"2019-11-14 19:00:00.000","hun","49265"
"2019-11-14 19:00:00.000","dan","31519"
"2019-11-14 19:00:00.000","fin","33161"
"2019-11-14 19:00:00.000","fas","44448"
"2019-11-14 19:00:00.000","ron","36366"
"2019-11-14 19:00:00.000","ell","21889"
"2019-11-14 19:00:00.000","ara","34601"
"2019-11-14 20:00:00.000","ron","22078"
"2019-11-14 20:00:00.000","hun","26389"
"2019-11-14 20:00:00.000","dan","18896"
"2019-11-14 20:00:00.000","fin","18931"
"2019-11-14 20:00:00.000","fas","22664"
"2019-11-14 20:00:00.000","ell","11985"
"2019-11-14 20:00:00.000","ara","18957"
"2019-11-14 21:00:00.000","fas","45602"
"2019-11-14 21:00:00.000","hun","50160"
"2019-11-14 21:00:00.000","dan","34113"
"2019-11-14 21:00:00.000","fin","36916"
"2019-11-14 21:00:00.000","ara","36444"
"2019-11-14 21:00:00.000","ell","22974"
"2019-11-14 21:00:00.000","ron","38685"
"2019-11-14 22:00:00.000","ara","30436"
"2019-11-14 22:00:00.000","ell","19734"
"2019-11-14 22:00:00.000","ron","35109"
"2019-11-14 22:00:00.000","fin","30485"
"2019-11-14 22:00:00.000","dan","29418"
"2019-11-14 22:00:00.000","fas","40010"
"2019-11-14 22:00:00.000","hun","42590"
"2019-11-14 23:00:00.000","fin","23237"
"2019-11-14 23:00:00.000","ara","24361"
"2019-11-14 23:00:00.000","hun","33398"
"2019-11-14 23:00:00.000","dan","22296"
"2019-11-14 23:00:00.000","ron","25857"
"2019-11-14 23:00:00.000","ell","15884"
"2019-11-14 23:00:00.000","fas","28688"
"2019-11-15 00:00:00.000","ara","34361"
"2019-11-15 00:00:00.000","dan","31970"
"2019-11-15 00:00:00.000","ron","36005"
"2019-11-15 00:00:00.000","fas","42587"
"2019-11-15 00:00:00.000","fin","33996"
"2019-11-15 00:00:00.000","hun","49054"
"2019-11-15 00:00:00.000","ell","23441"
"2019-11-15 01:00:00.000","ell","11090"
"2019-11-15 01:00:00.000","fas","23636"
"2019-11-15 01:00:00.000","ron","21160"
"2019-11-15 01:00:00.000","fin","18396"
"2019-11-15 01:00:00.000","ara","17771"
"2019-11-15 01:00:00.000","dan","18023"
"2019-11-15 01:00:00.000","hun","25529"
"2019-11-15 02:00:00.000","ell","22140"
"2019-11-15 02:00:00.000","fas","46336"
"2019-11-15 02:00:00.000","ara","38582"
"2019-11-15 02:00:00.000","dan","31834"
"2019-11-15 02:00:00.000","fin","37178"
"2019-11-15 02:00:00.000","hun","50660"
"2019-11-15 02:00:00.000","ron","37340"
"2019-11-15 03:00:00.000","ell","20803"
"2019-11-15 03:00:00.000","fin","30818"
"2019-11-15 03:00:00.000","fas","40987"
"2019-11-15 03:00:00.000","dan","30264"
"2019-11-15 03:00:00.000","ara","32378"
"2019-11-15 03:00:00.000","hun","44381"
"2019-11-15 03:00:00.000","ron","34542"
"2019-11-15 04:00:00.000","hun","31163"
"2019-11-15 04:00:00.000","fas","29239"
"2019-11-15 04:00:00.000","ron","25039"
"2019-11-15 04:00:00.000","ara","23697"
"2019-11-15 04:00:00.000","fin","22527"
"2019-11-15 04:00:00.000","dan","23198"
"2019-11-15 04:00:00.000","ell","13467"
"2019-11-15 05:00:00.000","ron","34122"
"2019-11-15 05:00:00.000","hun","45153"
"2019-11-15 05:00:00.000","fin","33180"
"2019-11-15 05:00:00.000","fas","43386"
"2019-11-15 05:00:00.000","dan","32512"
"2019-11-15 05:00:00.000","ara","34808"
"2019-11-15 05:00:00.000","ell","19456"
"2019-11-15 06:00:00.000","ron","20134"
"2019-11-15 06:00:00.000","ara","17659"
"2019-11-15 06:00:00.000","fas","22276"
"2019-11-15 06:00:00.000","dan","17283"
"2019-11-15 06:00:00.000","fin","16690"
"2019-11-15 06:00:00.000","hun","24085"
"2019-11-15 06:00:00.000","ell","10947"
"2019-11-15 07:00:00.000","fas","45422"
"2019-11-15 07:00:00.000","hun","49738"
"2019-11-15 07:00:00.000","ell","23532"
"2019-11-15 07:00:00.000","fin","36493"
"2019-11-15 07:00:00.000","ron","38995"
"2019-11-15 07:00:00.000","dan","34021"
"2019-11-15 07:00:00.000","ara","39029"
"2019-11-15 08:00:00.000","fin","33327"
"2019-11-15 08:00:00.000","ron","35394"
"2019-11-15 08:00:00.000","ell","20159"
"2019-11-15 08:00:00.000","fas","41766"
"2019-11-15 08:00:00.000","ara","33106"
"2019-11-15 08:00:00.000","dan","31708"
"2019-11-15 08:00:00.000","hun","45578"
"2019-11-15 09:00:00.000","ron","22820"
"2019-11-15 09:00:00.000","ell","12460"
"2019-11-15 09:00:00.000","hun","29873"
"2019-11-15 09:00:00.000","fas","24851"
