"n_pages","perc_pages","avg_warc_record_length","sum_warc_record_length","perc_warc_storage","content_mime_detected","perc_truncated","reasons_truncation"
"3","1.158035045871677E-7","70562.33333333333","211687","3.71914048886165E-7","application/vnd.oasis.opendocument.graphics-template","0.0",
"3","1.158035045871677E-7","9714.0","29142","5.1199739297361764E-8","application/x-appleworks","0.0",
"3","1.158035045871677E-7","36997.0","110991","1.9500069536591447E-7","application/x-spss-sav","0.0",
"3","1.158035045871677E-7","5349.333333333333","16048","2.8194819032463852E-8","application/x-internet-archive","0.0",
"3","1.158035045871677E-7","1912.0","5736","1.007760979375702E-8","text/csv.","0.0",
"3","1.158035045871677E-7","7112.333333333333","21337","3.748709207974085E-8","application/x-wtf","0.0",
"3","1.158035045871677E-7","6306.0","18918","3.323713774028858E-8","text/inquisit-script4","0.0",
"3","1.158035045871677E-7","703673.0","2111019","3.708860834938485E-6","application/x-tika-java-enterprise-archive","66.66666666666667","{length=2}"
"3","1.158035045871677E-7","568.6666666666666","1706","2.997280737125083E-9","application/vnd.framemaker","0.0",
"3","1.158035045871677E-7","1175.6666666666667","3527","6.196605603657777E-9","text/x-url","0.0",
"3","1.158035045871677E-7","516.0","1548","2.7196896723737566E-9","application/x-httpd-ea-php70","0.0",
"3","1.158035045871677E-7","33674.666666666664","101024","1.7748961851543048E-7","application/vnd.nokia.landmarkcollection+xml","0.0",
"2","7.720233639144514E-8","558.0","1116","1.9607065079903824E-9","application/x-httpd-cgi","0.0",
"2","7.720233639144514E-8","2501.5","5003","8.789798081967638E-9","text/docbook","0.0",
"2","7.720233639144514E-8","1021720.0","2043440","3.5901309199712073E-6","audio/x-hx-aac-adts","100.0","{length=2}"
"2","7.720233639144514E-8","2225.0","4450","7.818229355337995E-9","application/vnd.yamaha.smaf-phrase","0.0",
"2","7.720233639144514E-8","27296.0","54592","9.591298358800266E-8","application/x-spss","0.0",
"2","7.720233639144514E-8","66137.5","132275","2.3239467145558052E-7","application/octet-stream+fit","0.0",
"2","7.720233639144514E-8","10161.5","20323","3.570558993000765E-8","image/x-mrsid-image","0.0",
"2","7.720233639144514E-8","877778.5","1755557","3.0843477016559783E-6","audio/unknown","100.0","{length=2}"
"2","7.720233639144514E-8","27561.5","55123","9.684590039422389E-8","application/wasm","0.0",
"2","7.720233639144514E-8","7645.0","15290","2.686308468384673E-8","application/vnd.hp-pcl","0.0",
"2","7.720233639144514E-8","170701.0","341402","5.998110423305848E-7","application/otect-stream","50.0","{length=1}"
"2","7.720233639144514E-8","539608.5","1079217","1.8960822539729898E-6","chemical/x-mopac-input","50.0","{length=1}"
"2","7.720233639144514E-8","372465.5","744931","1.3087733509890534E-6","application/vnd.vectorworks","100.0","{length=2}"
"2","7.720233639144514E-8","6534.5","13069","2.296099762807017E-8","application/x-tika-msworks-spreadsheet","0.0",
"2","7.720233639144514E-8","1456.0","2912","5.116108737695335E-9","text/ical","0.0",
"2","7.720233639144514E-8","1049681.5","2099363","3.688382344743919E-6","application/vnd.snap","100.0","{length=2}"
"2","7.720233639144514E-8","1715.0","3430","6.02618577276614E-9","text/x-shellscript","0.0",
"2","7.720233639144514E-8","1808.0","3616","6.352970190764537E-9","model/vrml","0.0",
"2","7.720233639144514E-8","65319.5","130639","2.295203741015731E-7","application/x-internet-signup","0.0",
"2","7.720233639144514E-8","893.5","1787","3.1395900804469657E-9","application/x-solenovo-octet-stream","0.0",
"2","7.720233639144514E-8","991702.5","1983405","3.484655099893069E-6","image/zif","100.0","{length=2}"
"2","7.720233639144514E-8","990.5","1981","3.48042974223024E-9","application/ms-download","0.0",
"2","7.720233639144514E-8","537892.0","1075784","1.8900507974838043E-6","model/vnd.dwfx+xps","50.0","{length=1}"
"2","7.720233639144514E-8","3014.0","6028","1.059062619190504E-8","application/vnd.neurolanguage.nlu","0.0",
"2","7.720233639144514E-8","186347.0","372694","6.547881283951323E-7","application/vnd.rapidminer.rmp+zip","0.0",
"2","7.720233639144514E-8","20029.0","40058","7.037811944182683E-8","application/vnd.stardivision.impress","0.0",
"2","7.720233639144514E-8","249984.5","499969","8.783982724851645E-7","text/x-sieveinput","100.0","{length=2}"
"2","7.720233639144514E-8","890.0","1780","3.127291742135198E-9","text/x-javascript","0.0",
"2","7.720233639144514E-8","2247.0","4494","7.89553319615482E-9","text/h323","0.0",
"2","7.720233639144514E-8","1037761.5","2075523","3.6464977182649847E-6","video/x-ogm","100.0","{length=2}"
"2","7.720233639144514E-8","325593.0","651186","1.1440722474123882E-6","application/abr","0.0",
"2","7.720233639144514E-8","617.0","1234","2.1680213538173225E-9","chemical/x-cml","0.0",
"2","7.720233639144514E-8","23591.5","47183","8.289607093773317E-8","application/ctetstream","0.0",
"2","7.720233639144514E-8","532.5","1065","1.87110432886179E-9","application/x-httpd-php5","0.0",
"2","7.720233639144514E-8","1113.5","2227","3.912628488615217E-9","text/label","0.0",
"2","7.720233639144514E-8","561.5","1123","1.9730048463021503E-9","application/octet-stream1","0.0",
"2","7.720233639144514E-8","620.0","1240","2.1785627866559807E-9","x-access/x-denied","0.0",
"2","7.720233639144514E-8","4713.5","9427","1.6562347895004782E-8","text/inquisit","0.0",
"2","7.720233639144514E-8","31261.5","62523","1.0984700089523539E-7","{application/octet-stream}","0.0",
"2","7.720233639144514E-8","1538.0","3076","5.4042412352853196E-9","text/x-gettext-translation","0.0",
"2","7.720233639144514E-8","358041.5","716083","1.2580901419007859E-6","ceb/ceb","0.0",
"2","7.720233639144514E-8","828.0","1656","2.9094354634696E-9","inode/directory","0.0",
"2","7.720233639144514E-8","119002.0","238004","4.181505302219919E-7","chemical/x-gaussian-cube","0.0",
"2","7.720233639144514E-8","7300.5","14601","2.5652576812874172E-8","text/x-markdown","0.0",
"2","7.720233639144514E-8","696711.0","1393422","2.448110738151411E-6","application/octet-st","50.0","{length=1}"
"2","7.720233639144514E-8","751.5","1503","2.6406289260838215E-9","application/x-force-download","0.0",
"2","7.720233639144514E-8","12604.0","25208","4.428807316614835E-8","application/resource-lists+xml","0.0",
"2","7.720233639144514E-8","2011.0","4022","7.066273812847059E-9","text/x-lisp","0.0",
"2","7.720233639144514E-8","5882.0","11764","2.066823598566206E-8","application/x-pxm","0.0",
"2","7.720233639144514E-8","1650.0","3300","5.797788061261884E-9","text/endnote","0.0",
"2","7.720233639144514E-8","28175.0","56350","9.900162340972944E-8","application/vnd.sac+zip","0.0",
"2","7.720233639144514E-8","3017.0","6034","1.0601167624743699E-8","text/python-source","0.0",
"2","7.720233639144514E-8","6948.0","13896","2.441395845433186E-8","application/vnd.oma.dd+xml","0.0",
"2","7.720233639144514E-8","521685.0","1043370","1.8331024634784277E-6","application/vnd.ms-powerpoint.addin.macroenabled.12","50.0","{length=1}"
"2","7.720233639144514E-8","13344.5","26689","4.6890050171823764E-8","application/x-binary","0.0",
"2","7.720233639144514E-8","2818.5","5637","9.903676151919164E-9","audio/x-sap","0.0",
"2","7.720233639144514E-8","4420.0","8840","1.553104438228941E-8","x-soup/x-storable","0.0",
"2","7.720233639144514E-8","3541.5","7083","1.2444161466035735E-8","application/duplimate","0.0",
"2","7.720233639144514E-8","678.0","1356","2.3823638215367015E-9","application/x-octetstream","0.0",
"2","7.720233639144514E-8","224686.5","449373","7.89505883167708E-7","application/vnd.stardivision.writer","0.0",
"2","7.720233639144514E-8","4698.5","9397","1.6509640730811492E-8","application/exar1-journal","0.0",
"2","7.720233639144514E-8","3625.0","7250","1.2737564680045048E-8","text/x-algol68","0.0",
"2","7.720233639144514E-8","523.5","1047","1.839480030345816E-9","application/x-httpd-php56","0.0",
"2","7.720233639144514E-8","4909.0","9818","1.7249297934990658E-8","text/scriptlet","0.0",
"2","7.720233639144514E-8","2598.0","5196","9.128880838277803E-9","application/all","0.0",
"2","7.720233639144514E-8","104294.5","208589","3.6647115573047124E-7","application/vnd.ms-visio.stencil","0.0",
"2","7.720233639144514E-8","1744.0","3488","6.1280862902065006E-9","text/x-moc","0.0",
"2","7.720233639144514E-8","10893.5","21787","3.82776995426402E-8","document/unknown","0.0",
"2","7.720233639144514E-8","1035427.0","2070854","3.6382947266110357E-6","application/octet_stream","100.0","{length=2}"
"2","7.720233639144514E-8","60085.0","120170","2.1112733070358806E-7","application/x-vhd","100.0","{length=2}"
"2","7.720233639144514E-8","753.5","1507","2.64765654797626E-9","application/x-mscardfile","0.0",
"2","7.720233639144514E-8","1123.0","2246","3.9460096926043006E-9","application/vnd.sun.xml.draw.template","0.0",
"2","7.720233639144514E-8","2095.0","4190","7.361433932329483E-9","application/x-crossword","0.0",
"2","7.720233639144514E-8","1563.0","3126","5.4920865089408024E-9","application/vnd.flographit","0.0",
"2","7.720233639144514E-8","60899.0","121798","2.1398757281381057E-7","text/trig","0.0",
"2","7.720233639144514E-8","1149.0","2298","4.037368777206003E-9","application/x-msdos-program","0.0",
"2","7.720233639144514E-8","1049536.0","2099072","3.687871085251244E-6","application/onenote; format=package","100.0","{length=2}"
"2","7.720233639144514E-8","5873.0","11746","2.0636611687146088E-8","text/tab-delimiterd","0.0",
"2","7.720233639144514E-8","13000.0","26000","4.567954230085121E-8","application/x-easa-easa-file","0.0",
"2","7.720233639144514E-8","23527.0","47054","8.266943013170202E-8","application/itest","0.0",
"2","7.720233639144514E-8","511878.5","1023757","1.798644276434328E-6","application/adf","0.0",
"2","7.720233639144514E-8","4435.0","8870","1.55837515464827E-8","video/x-sgi-movie","0.0",
"2","7.720233639144514E-8","763.0","1526","2.6810377519653437E-9","audio/x-ms-wax","0.0",
"2","7.720233639144514E-8","1282.0","2564","4.504705633053173E-9","text/x-processing","0.0",
"2","7.720233639144514E-8","3909.0","7818","1.3735486988771336E-8","application/vnd.lotus-1-2-3","0.0",
"2","7.720233639144514E-8","15282.5","30565","5.3699815785596815E-8","application/vnd.arastra.swi","0.0",
"2","7.720233639144514E-8","580.0","1160","2.038010348807208E-9","archive/zip","0.0",
"2","7.720233639144514E-8","752.5","1505","2.644142737030041E-9","multipart/ranges","0.0",
"2","7.720233639144514E-8","17490.0","34980","6.145655344937596E-8","application/vnd.open","0.0",
"2","7.720233639144514E-8","155945.0","311890","5.479612480081724E-7","application/sc2replay","0.0",
"2","7.720233639144514E-8","1621.5","3243","5.697644449294633E-9","text/x-jmp-script","0.0",
